,team_home,score_home,team_away,score_away,schedule,status
9,NewcastleUnited,,LeicesterCity,,22/05/2023,15:00
10,Arsenal,,WolverhamptonWanderers,,28/05/2023,11:30
11,ManchesterUnited,,Fulham,,28/05/2023,11:30
12,LeicesterCity,,WestHamUnited,,28/05/2023,11:30
13,LeedsUnited,,TottenhamHotspur,,28/05/2023,11:30
14,Everton,,AFCBournemouth,,28/05/2023,11:30
15,CrystalPalace,,NottinghamForest,,28/05/2023,11:30
16,Chelsea,,NewcastleUnited,,28/05/2023,11:30
17,Brentford,,ManchesterCity,,28/05/2023,11:30
18,AstonVilla,,Brighton&HoveAlbion,,28/05/2023,11:30
19,Southampton,,Liverpool,,28/05/2023,11:30
