id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
153408,D. Oyegoke,Daniel,Oladele Akinbiyi Oyegoke,20,England,,,False,https://media-2.api-sports.io/football/players/153408.png,2003-01-03,,England,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37440,H. Dervişoğlu,Halil İbrahim,Dervişoğlu,24,Türkiye,183 cm,76 kg,False,https://media-1.api-sports.io/football/players/37440.png,1999-12-08,Rotterdam,Netherlands,55,Brentford,https://media-1.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,1,0,7,,Attacker,6.300000,False,1,0,2,,,0,0,,,,,,,,,1,,,,,,,0,0,0,,,0,0,
19831,T. Fosu,Tariqe,Fosu,28,Ghana,180 cm,75 kg,False,https://media-1.api-sports.io/football/players/19831.png,1995-11-05,Wandsworth,England,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
17772,C. Goode,Charlie,Goode,28,England,196 cm,89 kg,False,https://media-2.api-sports.io/football/players/17772.png,1995-08-03,Watford,England,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
40434,J. Valencia,César Joel,Valencia Castillo,29,Ecuador,164 cm,61 kg,False,https://media-3.api-sports.io/football/players/40434.png,1994-11-16,Quinindé,Ecuador,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19350,L. Račić,Luka,Račić,24,Denmark,187 cm,74 kg,False,https://media-1.api-sports.io/football/players/19350.png,1999-05-08,Greve,Denmark,55,Brentford,https://media-1.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19465,David Raya,David,Raya Martin,28,Spain,183 cm,80 kg,False,https://media-1.api-sports.io/football/players/19465.png,1995-09-15,Barcelona,Spain,55,Brentford,https://media-3.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,34,34,3060,,Goalkeeper,7.155882,False,0,0,0,1,,0,44,,138,1297,2,23,,,1,22,18,1,1,,5,,1,0,0,,,0,0,0
1835,T. Strakosha,Thomas,Strakosha,28,Albania,186 cm,78 kg,False,https://media-1.api-sports.io/football/players/1835.png,1995-03-19,Athina,Greece,55,Brentford,https://media-3.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,15,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
278041,M. Cox,Matthew,Cox,20,England,182 cm,64 kg,False,https://media-3.api-sports.io/football/players/278041.png,2003-05-02,London,England,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,19,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
44871,A. Hickey,Aaron,Buchanan Hickey,21,Scotland,178 cm,72 kg,False,https://media-3.api-sports.io/football/players/44871.png,2002-06-10,,Scotland,55,Brentford,https://media-1.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,22,19,1597,,Defender,6.561904,False,3,11,5,6,2,0,0,,,610,2,24,37,6,17,162,93,28,13,,32,17,6,0,0,,,0,0,
