id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
630,F. Delph,Fabian,Delph,33,England,174 cm,60 kg,False,https://media-2.api-sports.io/football/players/630.png,1989-11-21,Bradford,England,45,Everton,https://media-1.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284266,L. Warrington,Lewis Wesley,Warrington,21,England,,,False,https://media-3.api-sports.io/football/players/284266.png,2002-10-10,,England,45,Everton,https://media-2.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
126791,N. Broadhead,Nathan Paul,Broadhead,25,Wales,178 cm,73 kg,False,https://media-2.api-sports.io/football/players/126791.png,1998-04-05,Bangor,Wales,45,Everton,https://media-3.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
215874,T. Cannon,Thomas Christopher,Cannon,21,Republic of Ireland,,,False,https://media-3.api-sports.io/football/players/215874.png,2002-12-28,Aintree,England,45,Everton,https://media-3.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,2,0,23,,Attacker,6.800000,False,2,0,2,1,1,0,0,,,5,1,2,,,,4,2,,,,2,,0,0,0,,,0,0,
156490,N. Nkounkou,Niels Patrick,Nkounkou,23,France,180 cm,78 kg,False,https://media-3.api-sports.io/football/players/156490.png,2000-11-01,,France,45,Everton,https://media-1.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
138787,A. Gordon,Anthony Michael,Gordon,22,England,183 cm,72 kg,False,https://media-1.api-sports.io/football/players/138787.png,2001-02-24,Liverpool,England,45,Everton,https://media-3.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,16,12,1096,,Attacker,6.725000,False,4,5,5,19,16,3,0,,,253,8,11,34,,4,182,68,38,10,,15,20,6,0,0,,,0,0,
2932,J. Pickford,Jordan Lee,Pickford,29,England,185 cm,82 kg,False,https://media-3.api-sports.io/football/players/2932.png,1994-03-07,Washington,England,45,Everton,https://media-3.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,33,33,2970,,Goalkeeper,6.893939,False,0,0,0,,,0,52,1,114,1031,2,16,,,4,17,11,,,,4,1,5,0,0,,,0,0,0
18858,A. Begović,Asmir,Begović,36,Bosnia and Herzegovina,199 cm,101 kg,False,https://media-3.api-sports.io/football/players/18858.png,1987-06-20,Trebinje,Bosnia and Herzegovina,45,Everton,https://media-2.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,1,1,90,,Goalkeeper,8.000000,False,0,0,33,,,0,0,,4,25,,16,,,,1,1,,,,,,0,0,0,,,0,0,0
20224,A. Lonergan,Andrew Michael,Lonergan,40,England,192 cm,87 kg,False,https://media-2.api-sports.io/football/players/20224.png,1983-10-19,Preston,England,45,Everton,https://media-3.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
20069,B. Crellin,William Francis,Crellin,23,England,185 cm,60 kg,False,https://media-2.api-sports.io/football/players/20069.png,2000-06-30,Blackpool,England,45,Everton,https://media-3.api-sports.io/football/teams/45.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
