id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
18752,Hélder Costa,Hélder Wander,Sousa de Azevedo e Costa,29,Angola,178 cm,79 kg,False,https://media-1.api-sports.io/football/players/18752.png,1994-01-12,Luanda,Angola,63,Leeds,https://media-2.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
153411,C. Drameh,Cody Callum Pierre,Drameh,22,England,175 cm,,False,https://media-3.api-sports.io/football/players/153411.png,2001-12-08,London,England,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,1,1,70,,Defender,6.300000,False,0,1,5,,,0,0,,,31,,24,5,,1,10,7,1,1,,,1,0,0,0,,,0,0,
19569,J. Gelhardt,Joseph Paul,Gelhardt,21,England,175 cm,65 kg,False,https://media-1.api-sports.io/football/players/19569.png,2002-05-04,,England,63,Leeds,https://media-2.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,15,1,200,,Attacker,6.561538,False,14,2,16,6,2,0,0,2,,64,2,3,6,,,53,20,8,1,,8,6,1,0,0,,,0,0,
297187,L. Hjelde,Leo,Fuhr Hjelde,20,Norway,188 cm,,False,https://media-2.api-sports.io/football/players/297187.png,2003-08-26,,Norway,63,Leeds,https://media-2.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,5,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
638,I. Poveda-Ocampo,Ian Carlo,Poveda-Ocampo,23,England,156 cm,,False,https://media-2.api-sports.io/football/players/638.png,2000-02-09,London,England,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
47302,Diego Llorente,Diego Javier,Llorente Ríos,30,Spain,186 cm,75 kg,False,https://media-2.api-sports.io/football/players/47302.png,1993-08-16,Madrid,Spain,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,8,7,648,,Defender,6.762500,False,1,0,12,5,,0,0,,,427,,44,13,2,15,54,35,3,2,,2,6,1,0,0,,,0,0,
19329,D. James,Daniel Owen,James,26,Wales,171 cm,63 kg,False,https://media-2.api-sports.io/football/players/19329.png,1997-11-10,Kingston upon Hull,England,63,Leeds,https://media-2.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,4,2,199,,Midfielder,6.616666,False,2,3,2,10,3,0,0,1,,155,7,6,9,1,1,63,28,7,4,,14,2,0,0,0,,,0,0,
20619,I. Meslier,Illan Stéphane,Meslier,23,France,197 cm,74 kg,False,https://media-1.api-sports.io/football/players/20619.png,2000-03-02,Lorient,France,63,Leeds,https://media-2.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,34,34,3060,,Goalkeeper,6.614705,False,0,0,0,1,1,0,67,,94,843,,14,2,,1,25,18,,,,5,1,3,0,0,,,0,0,0
39105,K. Klaesson,Kristoffer-August,Sundquist Klaesson,23,Norway,189 cm,76 kg,False,https://media-2.api-sports.io/football/players/39105.png,2000-11-27,,Norway,63,Leeds,https://media-2.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,11,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
1558,Joel Robles,Joel,Robles Blázquez,33,Spain,195 cm,78 kg,False,https://media-1.api-sports.io/football/players/1558.png,1990-06-17,Leganés,Spain,63,Leeds,https://media-1.api-sports.io/football/teams/63.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,23,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
