id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
883,Lee Grant,Lee,Grant,39,England,193 cm,83 kg,False,https://media-1.api-sports.io/football/players/883.png,1983-01-27,Hemel Hempstead,England,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,M. Greenwood,Mason Will John,Greenwood,21,England,181 cm,70 kg,False,https://media-3.api-sports.io/football/players/897.png,2001-10-01,Bradford,England,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153429,T. Mengi,Teden Mambuene,Mengi,20,England,183 cm,78 kg,False,https://media-2.api-sports.io/football/players/153429.png,2002-04-30,Manchester,England,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
328101,T. Fredricson,Tyler,Fredricson,17,England,,,False,https://media-3.api-sports.io/football/players/328101.png,2005-02-23,,England,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284362,B. Hardley,Björn Bryan,Hardley,20,Netherlands,189 cm,,False,https://media-2.api-sports.io/football/players/284362.png,2002-12-19,Tilburg,Netherlands,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284391,S. Murray,Sam,Murray,18,England,,,False,https://media-2.api-sports.io/football/players/284391.png,2004-09-25,,England,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303010,D. Gore,Daniel,Gore,18,England,,,False,https://media-1.api-sports.io/football/players/303010.png,2004-09-26,,England,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216770,I. Hansen-Aarøen,Isak,Hansen-Aarøen,18,Norway,173 cm,,False,https://media-2.api-sports.io/football/players/216770.png,2004-08-22,Tromsø,Norway,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282136,N. Emeran,Noam,Fritz Emeran,20,France,179 cm,,False,https://media-1.api-sports.io/football/players/282136.png,2002-09-24,Paray-le-Monial,France,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,38,Portugal,187 cm,83 kg,False,https://media-1.api-sports.io/football/players/874.png,1985-02-05,Funchal,Portugal,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,10,4,520,,Attacker,6.810000,False,6,1,8,19,6,1,0,,,158,6,12,2,,1,47,26,7,4,,5,7,2,0,0,,,0,0,
284323,C. Savage,Charlie William Henry,Savage,20,Wales,182 cm,74 kg,False,https://media-1.api-sports.io/football/players/284323.png,2003-05-02,Leicester,Wales,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
163054,S. Shoretire,Shola,Maxwell Shoretire,19,England,170 cm,70 kg,False,https://media-2.api-sports.io/football/players/163054.png,2004-02-02,Newcastle,Nigeria,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
157997,A. Diallo,Amad,Diallo Traoré,21,Côte d'Ivoire,173 cm,72 kg,False,https://media-3.api-sports.io/football/players/157997.png,2002-07-11,Abidjan,Côte d'Ivoire,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19182,A. Tuanzebe,Axel,Tuanzebe,26,England,186 cm,75 kg,False,https://media-2.api-sports.io/football/players/19182.png,1997-11-14,Bunia,Congo DR,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
180560,H. Mejbri,Hannibal,Mejbri,20,Tunisia,177 cm,74 kg,False,https://media-1.api-sports.io/football/players/180560.png,2003-01-21,,France,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
906,T. Chong,Tahith Jose,Chong,24,Netherlands,185 cm,75 kg,False,https://media-3.api-sports.io/football/players/906.png,1999-12-04,Willemstad,Curaçao,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
138804,M. Kovář,Matěj,Kovář,23,Czech Republic,184 cm,77 kg,False,https://media-3.api-sports.io/football/players/138804.png,2000-05-17,Uherské Hradiště,Czech Republic,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
18886,M. Dúbravka,Martin,Dúbravka,34,Slovakia,190 cm,83 kg,False,https://media-2.api-sports.io/football/players/18886.png,1989-01-15,Žilina,Slovakia,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,4,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
882,David de Gea,David,de Gea Quintana,33,Spain,192 cm,76 kg,False,https://media-3.api-sports.io/football/players/882.png,1990-11-07,Madrid,Spain,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,33,33,2970,,Goalkeeper,6.912121,False,0,0,0,,,0,40,,88,950,1,19,,,,8,7,,,,3,,0,0,0,,,0,0,0
2931,T. Heaton,Thomas David,Heaton,37,England,188 cm,85 kg,False,https://media-3.api-sports.io/football/players/2931.png,1986-04-15,Chester,England,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,23,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
288115,James Storer,James,Storer,,England,,,False,https://media-1.api-sports.io/football/players/288115.png,,,England,39,Wolves,https://media-2.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158432,C. Campbell,Chem,Campbell,21,Wales,,,False,https://media-1.api-sports.io/football/players/158432.png,2002-12-30,,Wales,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,5,0,69,,Midfielder,6.400000,False,5,0,14,2,,0,0,,,28,,5,2,,1,17,7,4,2,,1,,0,0,0,,,0,0,
149564,L. Cundle,Luke James,Cundle,21,England,,,False,https://media-3.api-sports.io/football/players/149564.png,2002-04-26,,England,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
19173,M. Šarkić,Matija,Šarkić,26,Montenegro,192 cm,76 kg,False,https://media-3.api-sports.io/football/players/19173.png,1997-07-23,Grimsby,England,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,20,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,2
1649,P. Cutrone,Patrick,Cutrone,25,Italy,183 cm,75 kg,False,https://media-1.api-sports.io/football/players/1649.png,1998-01-03,Como,Italy,39,Wolves,https://media-2.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2922,L. Dendoncker,Leander,Dendoncker,28,Belgium,188 cm,83 kg,False,https://media-1.api-sports.io/football/players/2922.png,1995-04-15,Passendale,Belgium,39,Wolves,https://media-2.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,4,2,212,,Midfielder,6.583333,False,2,0,3,1,,0,0,,,278,5,14,19,4,8,56,32,4,2,,1,1,0,0,0,,,0,0,
