id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
284427,Lewis James Payne,Lewis,James Payne,19,England,,,False,https://media-3.api-sports.io/football/players/284427.png,2004-05-30,,England,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
152949,D. Simeu,Dynel Brown,Kembo Simeu,21,England,186 cm,83 kg,False,https://media-2.api-sports.io/football/players/152949.png,2002-03-13,Yaoundé,Cameroon,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
284423,R. Finnigan,Ryan James,Finnigan,20,England,,,False,https://media-2.api-sports.io/football/players/284423.png,2003-09-23,,England,41,Southampton,https://media-2.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
231029,N. Tella,Nathan Adewale Temitayo,Tella,24,England,,,False,https://media-2.api-sports.io/football/players/231029.png,1999-07-05,,England,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18940,J. Stephens,Jack,Stephens,29,England,185 cm,75 kg,False,https://media-3.api-sports.io/football/players/18940.png,1994-01-27,Plymouth,England,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,2,0,44,,Defender,6.842857,False,2,0,2,2,1,0,0,,,540,3,31,15,16,16,68,36,3,3,,2,8,0,0,0,,,0,0,
18935,A. McCarthy,Alex Simon,McCarthy,34,England,193 cm,79 kg,False,https://media-1.api-sports.io/football/players/18935.png,1989-12-03,Guildford,England,41,Southampton,https://media-3.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,2,2,180,,Goalkeeper,6.250000,False,0,0,21,,,0,4,,4,81,,24,,,,2,1,,,,1,,0,0,0,,,0,0,0
2275,W. Caballero,Wilfredo Daniel,Caballero Lazcano,42,Argentina,186 cm,81 kg,False,https://media-3.api-sports.io/football/players/2275.png,1981-09-28,Entre Ríos,Argentina,41,Southampton,https://media-2.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,11,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
105971,G. Bazunu,Gavin Okeroghene,Bazunu,21,Republic of Ireland,189 cm,79 kg,False,https://media-1.api-sports.io/football/players/105971.png,2002-02-20,Dublin,Republic of Ireland,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,32,32,2880,,Goalkeeper,6.571875,False,0,0,2,,,0,56,,69,1028,1,17,1,,1,19,18,,,,2,1,0,0,0,,,0,0,0
171,K. Walker-Peters,Kyle Leonardus,Walker-Peters,26,England,173 cm,62 kg,False,https://media-1.api-sports.io/football/players/171.png,1997-04-13,London,England,41,Southampton,https://media-2.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,27,26,2293,,Defender,6.581481,False,1,4,2,8,4,1,0,,,877,13,25,54,8,22,285,146,74,41,,35,24,4,0,0,,,0,0,
30476,Lyanco,Lyanco Evangelista,Silveira Neves Vojnović,26,Brazil,187 cm,85 kg,False,https://media-1.api-sports.io/football/players/30476.png,1997-02-01,Vitória,Brazil,41,Southampton,https://media-2.api-sports.io/football/teams/41.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,17,8,850,,Defender,6.676470,False,9,2,17,8,3,0,0,,,365,1,16,19,13,15,94,54,9,7,,7,14,4,0,0,,,0,0,
