id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
2281,Gary Cahill,Gary,Cahill,37,England,193 cm,86 kg,False,https://media-3.api-sports.io/football/players/2281.png,1985-12-19,Dronfield,England,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350590,T. Gidaree,Tarik,Gidaree,19,England,,,False,https://media-1.api-sports.io/football/players/350590.png,2003-05-08,,England,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196000,B. Genesini,Brooklyn David Anthony,Genesini,22,England,,,False,https://media-2.api-sports.io/football/players/196000.png,2001-12-12,,England,35,Bournemouth,https://media-2.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151756,W. Dennis,William Jonathan,Dennis,23,England,,,False,https://media-3.api-sports.io/football/players/151756.png,2000-07-10,,England,35,Bournemouth,https://media-1.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
19356,E. Marcondes,Emiliano,Marcondes Camargo Hansen,28,Denmark,182 cm,75 kg,False,https://media-3.api-sports.io/football/players/19356.png,1995-03-09,Hvidovre,Denmark,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,1,0,8,,Attacker,6.200000,False,1,0,10,,,0,0,,,1,,1,,,,1,1,,,,1,,0,0,0,,,0,0,
20093,J. Hill,James Clayton,Hill,21,England,184 cm,73 kg,False,https://media-1.api-sports.io/football/players/20093.png,2002-01-10,Bristol,England,35,Bournemouth,https://media-1.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,6,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
18860,M. Travers,Mark,Travers,24,Republic of Ireland,191 cm,82 kg,False,https://media-3.api-sports.io/football/players/18860.png,1999-05-18,Maynooth,Republic of Ireland,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,11,10,944,,Goalkeeper,6.427272,False,1,0,25,,,0,31,,31,276,,17,,,,3,3,,,,,,0,0,0,,,0,0,0
19229,D. Randolph,Darren Edward Andrew,Randolph,36,Republic of Ireland,188 cm,98 kg,False,https://media-1.api-sports.io/football/players/19229.png,1987-05-12,Bray,Republic of Ireland,35,Bournemouth,https://media-1.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
912,Neto,Norberto,Murara Neto,34,Brazil,190 cm,84 kg,False,https://media-2.api-sports.io/football/players/912.png,1989-07-19,Araxá,Brazil,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,25,25,2206,,Goalkeeper,6.964000,False,0,1,3,,,0,36,,93,630,,13,3,,,12,10,1,1,,3,,4,0,0,,,0,0,0
382166,C. Plain,Cameron,Plain,22,England,,,False,https://media-3.api-sports.io/football/players/382166.png,2001-09-24,,England,35,Bournemouth,https://media-2.api-sports.io/football/teams/35.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,6,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
