id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
162517,L. Dendoncker,Lars,Dendoncker,21,Belgium,188 cm,,False,https://media-2.api-sports.io/football/players/162517.png,2001-04-03,,Belgium,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,E. Mwepu,Enock,Mwepu,24,Zambia,184 cm,76 kg,False,https://media-3.api-sports.io/football/players/1093.png,1998-01-01,Lusaka,Zambia,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,6,2,211,,Midfielder,6.683333,False,4,2,4,2,1,0,0,1,,75,3,10,10,1,1,30,11,4,,,1,2,0,0,0,,,0,0,
1946,L. Trossard,Leandro,Trossard,29,Belgium,172 cm,61 kg,False,https://media-1.api-sports.io/football/players/1946.png,1994-12-04,Waterschei,Belgium,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,16,16,1326,,Attacker,6.994117,False,0,11,1,8,3,7,0,8,,317,18,16,8,,4,75,35,18,14,,13,9,1,0,0,,,0,0,
18959,Robert Sánchez,Robert,Lynch Sánchez,26,Spain,197 cm,90 kg,False,https://media-3.api-sports.io/football/players/18959.png,1997-11-18,Cartagena,Spain,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,23,23,2070,,Goalkeeper,6.691304,False,0,0,10,,,0,30,,48,673,,21,1,,3,9,8,,,,,1,2,0,0,,,0,0,0
18960,J. Steele,Jason Sean,Steele,33,England,188 cm,79 kg,False,https://media-1.api-sports.io/football/players/18960.png,1990-08-18,Newton Aycliffe,England,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,10,10,900,,Goalkeeper,6.770000,False,0,0,22,,,0,15,1,24,297,1,26,,,,2,1,,,,1,1,1,0,0,,,0,0,0
167663,T. McGill,Thomas Peter Wayne,McGill,23,Canada,185 cm,80 kg,False,https://media-1.api-sports.io/football/players/167663.png,2000-03-25,Haywards Heath,England,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
138815,T. Lamptey,Tariq Kwame,Nii-Lante Lamptey,23,Ghana,163 cm,55 kg,False,https://media-3.api-sports.io/football/players/138815.png,2000-09-30,Hillingdon,England,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,20,3,438,,Defender,6.517647,False,17,2,20,4,,0,0,,,232,4,11,11,3,7,65,35,21,8,,14,6,1,0,0,,,0,0,
19265,A. Webster,Adam Harry,Webster,28,England,191 cm,75 kg,False,https://media-3.api-sports.io/football/players/19265.png,1995-01-04,West Wittering,England,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,26,22,1922,,Defender,6.854166,False,4,5,7,16,2,0,0,,,1631,6,55,21,19,19,142,89,7,3,,6,10,2,0,0,,,0,0,
18963,L. Dunk,Lewis Carl,Dunk,32,England,192 cm,88 kg,False,https://media-3.api-sports.io/football/players/18963.png,1991-11-21,Brighton,England,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,33,33,2970,,Defender,6.933333,False,0,1,0,17,3,1,0,,,2931,9,80,27,22,31,206,121,2,2,,27,18,4,0,0,,,0,0,
152953,L. Colwill,Levi Lemar,Samuels Colwill,20,England,187 cm,83 kg,False,https://media-1.api-sports.io/football/players/152953.png,2003-02-26,,England,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,13,9,859,,Defender,6.633333,False,4,1,15,6,,0,0,,,819,3,56,3,2,11,68,45,,,,7,4,1,0,0,,,0,0,
38695,J. van Hecke,Jan Paul,van Hecke,23,Netherlands,189 cm,79 kg,False,https://media-2.api-sports.io/football/players/38695.png,2000-06-08,Arnemuiden,Netherlands,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,4,1,85,,Defender,6.433333,False,3,1,26,2,,0,0,,,100,,23,2,,4,6,4,,,,,,0,0,0,,,0,0,
46731,P. Estupiñán,Pervis Josué,Estupiñán Tenorio,25,Ecuador,175 cm,73 kg,False,https://media-2.api-sports.io/football/players/46731.png,1998-01-21,Esmeraldas,Ecuador,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,30,27,2278,,Defender,6.856666,False,3,11,4,13,4,0,0,4,,1427,43,40,53,7,36,237,122,30,14,,22,33,3,0,0,,,0,0,
537,J. Veltman,Joël Ivo,Veltman,31,Netherlands,184 cm,75 kg,False,https://media-1.api-sports.io/football/players/537.png,1992-01-15,Velsen,Netherlands,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,28,23,2059,,Defender,6.866666,False,5,9,7,11,5,1,0,1,,1236,9,37,58,8,19,197,124,13,5,,37,23,4,0,0,,,0,0,
282254,O. Offiah,Odeluga Joshua,Offiah,21,England,181 cm,77 kg,False,https://media-1.api-sports.io/football/players/282254.png,2002-10-26,,England,51,Brighton,https://media-1.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,1,0,2,,Defender,6.300000,False,1,0,5,,,0,0,,,6,,4,,,,1,,,,,,,0,0,0,,,0,0,
18973,S. March,Solomon Benjamin,March,29,England,180 cm,88 kg,False,https://media-2.api-sports.io/football/players/18973.png,1994-07-20,Eastbourne,England,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,33,31,2726,,Midfielder,7.300000,False,2,13,2,51,33,7,0,7,,1101,67,26,53,3,24,347,178,92,57,,39,46,2,0,0,,,0,0,
6716,A. Mac Allister,Alexis,Mac Allister,25,Argentina,176 cm,69 kg,False,https://media-2.api-sports.io/football/players/6716.png,1998-12-24,La Pampa,Argentina,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,30,28,2544,,Midfielder,7.216666,False,2,4,2,62,33,10,0,1,,1600,38,46,64,2,22,294,167,49,33,,49,32,7,0,0,,,6,0,
18970,P. Groß,Pascal,Groß,32,Germany,181 cm,78 kg,False,https://media-3.api-sports.io/football/players/18970.png,1991-06-15,Mannheim,Germany,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,32,32,2817,,Midfielder,7.275000,False,0,6,0,22,15,8,0,6,,1801,73,48,51,8,13,202,88,26,13,,15,28,4,0,0,,,0,0,
295,A. Lallana,Adam David,Lallana,35,England,172 cm,73 kg,False,https://media-1.api-sports.io/football/players/295.png,1988-05-10,St Albans,England,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,16,12,729,,Midfielder,6.720000,False,4,12,4,8,5,2,0,1,,310,14,16,9,,2,58,27,6,3,,7,2,0,0,0,,,0,0,
40911,J. Moder,Jakub Piotr,Moder,24,Poland,188 cm,78 kg,False,https://media-2.api-sports.io/football/players/40911.png,1999-04-07,Szczecinek,Poland,51,Brighton,https://media-2.api-sports.io/football/teams/51.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
