id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
19657,M. Rodák,Marek,Rodák,27,Slovakia,194 cm,81 kg,False,https://media-1.api-sports.io/football/players/19657.png,1996-12-13,Košice,Slovakia,36,Fulham,https://media-3.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,2,2,180,,Goalkeeper,6.600000,False,0,0,33,,,0,2,,2,58,,13,,,,1,1,,,,,,0,0,0,,,0,0,2
1438,B. Leno,Bernd,Leno,31,Germany,189 cm,82 kg,False,https://media-3.api-sports.io/football/players/1438.png,1992-03-04,Bietigheim-Bissingen,Germany,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,33,33,2970,,Goalkeeper,7.190909,False,0,0,2,,,0,47,,134,1076,1,24,,,,16,13,,,,3,1,3,0,0,,,0,0,2
153420,G. Wickens,George Alexander,Wickens,22,England,183 cm,,False,https://media-1.api-sports.io/football/players/153420.png,2001-11-08,Petersfield,England,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
657,K. Tete,Kenny Joelle,Tete,28,Netherlands,180 cm,71 kg,False,https://media-1.api-sports.io/football/players/657.png,1995-10-09,Amsterdam,Netherlands,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,28,26,2305,,Defender,7.060714,False,2,8,3,9,4,0,0,5,,980,23,26,75,15,45,263,163,26,17,,43,35,8,0,0,,,0,0,
263,L. Kurzawa,Layvin,Kurzawa,31,France,182 cm,74 kg,False,https://media-2.api-sports.io/football/players/263.png,1992-09-04,Fréjus,France,36,Fulham,https://media-3.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,3,2,135,,Defender,6.200000,False,1,1,7,,,0,0,,,27,,9,3,1,2,11,5,4,2,,,1,1,0,0,,,0,0,
19145,T. Adarabioyo,Abdul-Nasir Oluwatosin,Oluwadoyinsolami Adarabioyo,26,England,196 cm,80 kg,False,https://media-1.api-sports.io/football/players/19145.png,1997-09-24,Manchester,England,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,22,20,1813,,Defender,6.823809,False,2,0,15,9,4,1,0,,,1098,6,42,22,13,22,131,82,6,4,,5,15,3,0,0,,,0,0,
18962,S. Duffy,Shane Patrick Michael,Duffy,31,Republic of Ireland,193 cm,76 kg,False,https://media-2.api-sports.io/football/players/18962.png,1992-01-01,Derry,Northern Ireland,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,1,0,13,,Defender,4.200000,False,1,0,12,1,,0,0,,,20,,8,,,,5,4,1,1,,1,,0,0,0,,,0,0,
190,Cédric Soares,Cédric Ricardo,Alves Soares,32,Portugal,172 cm,67 kg,False,https://media-1.api-sports.io/football/players/190.png,1991-08-31,Singen,Germany,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,6,2,195,,Defender,6.300000,False,4,1,10,,,0,0,,,20,,18,,,,3,,,,,,1,0,0,0,,,0,0,
19023,T. Ream,Timothy Michael,Ream,36,USA,183 cm,80 kg,False,https://media-3.api-sports.io/football/players/19023.png,1987-10-05,St. Louis,USA,36,Fulham,https://media-3.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,33,33,2899,,Defender,6.863636,False,0,2,0,3,2,1,0,,,1900,3,50,30,24,41,165,95,13,10,,7,18,2,0,0,,,0,0,
18814,I. Diop,Issa Laye Lucas Jean,Diop,26,France,194 cm,92 kg,False,https://media-3.api-sports.io/football/players/18814.png,1997-01-09,Toulouse,France,36,Fulham,https://media-2.api-sports.io/football/teams/36.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,22,18,1740,,Defender,6.772727,False,4,2,16,2,2,1,0,,,1215,1,49,25,15,30,114,63,3,2,,7,16,2,0,0,,,0,0,
