id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
284247,H. Blair,Harvey,Blair,19,England,,,False,https://media-2.api-sports.io/football/players/284247.png,2003-09-14,,England,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138411,L. Hughes,Liam John,Hughes,21,Northern Ireland,,,False,https://media-3.api-sports.io/football/players/138411.png,2001-08-19,,Northern Ireland,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152979,James Barry Norris,James Barry,Norris,19,England,,,False,https://media-2.api-sports.io/football/players/152979.png,2003-04-04,,England,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
152976,Thomas Daniel Hill,Thomas Daniel,Hill,20,England,,,False,https://media-1.api-sports.io/football/players/152976.png,2002-10-13,,England,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
284286,Isaac Mabaya,Isaac,Mabaya,18,England,,,False,https://media-2.api-sports.io/football/players/284286.png,2004-09-22,,England,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
287111,F. Mrozek,Fabian,Mrozek,19,Poland,,,False,https://media-2.api-sports.io/football/players/287111.png,2003-09-28,,Poland,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
180866,Marcelo,Marcelo,de Araújo Pitaluga Filho,20,Brazil,191 cm,75 kg,False,https://media-3.api-sports.io/football/players/180866.png,2002-12-20,Niterói,Brazil,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284253,D. Corness,Dominic,Corness,19,England,,,False,https://media-2.api-sports.io/football/players/284253.png,2003-05-05,,England,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286764,Kaide Gordon,Kaide,Gordon,19,England,,,False,https://media-2.api-sports.io/football/players/286764.png,2004-10-05,,England,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Alisson,Alisson Ramsés,Becker,31,Brazil,193 cm,91 kg,False,https://media-3.api-sports.io/football/players/280.png,1992-10-02,Novo Hamburgo,Brazil,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,35,35,3150,,Goalkeeper,7.065714,False,0,0,0,,,0,42,1,102,1187,1,28,,,,23,18,2,2,,5,1,1,0,0,,,0,0,1
18812,Adrián,Adrián,San Miguel del Castillo,36,Spain,190 cm,80 kg,False,https://media-2.api-sports.io/football/players/18812.png,1987-01-03,Sevilla,Spain,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,11,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
