id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
623,B. Mendy,Benjamin,Mendy,28,France,185 cm,85 kg,False,https://media-3.api-sports.io/football/players/623.png,1994-07-17,Longjumeau,France,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158696,F. Burns,Finley Jack,Burns,19,England,185 cm,,False,https://media-2.api-sports.io/football/players/158696.png,2003-06-17,London,England,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278133,Oscar Bobb,Oscar,Bobb,19,Norway,,,False,https://media-1.api-sports.io/football/players/278133.png,2003-07-12,,Norway,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25004,S. Ortega,Stefan,Ortega Moreno,31,Germany,185 cm,88 kg,False,https://media-3.api-sports.io/football/players/25004.png,1992-11-06,Calden,Germany,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,1,1,90,,Goalkeeper,7.200000,False,0,0,33,,,0,0,,2,43,,39,,,,1,1,,,,,,0,0,0,,,0,0,0
617,Ederson,Ederson,Santana de Moraes,30,Brazil,188 cm,86 kg,False,https://media-1.api-sports.io/football/players/617.png,1993-08-17,Osasco,Brazil,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,33,33,2970,,Goalkeeper,6.657575,False,0,0,1,,,0,31,1,41,1037,1,26,3,,1,14,12,,,,2,1,3,0,0,,,0,0,0
19197,S. Carson,Scott Paul,Carson,38,England,188 cm,85 kg,False,https://media-1.api-sports.io/football/players/19197.png,1985-09-03,Whitehaven,England,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,5,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
627,K. Walker,Kyle Andrew,Walker,33,England,178 cm,80 kg,False,https://media-1.api-sports.io/football/players/627.png,1990-05-28,Sheffield,England,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,23,18,1597,,Defender,6.663636,False,5,4,10,3,1,0,0,,,1455,5,56,11,2,15,90,46,11,7,,9,11,3,0,0,,,0,0,
567,Rúben Dias,Rúben,dos Santos Gato Alves Dias,26,Portugal,186 cm,76 kg,False,https://media-1.api-sports.io/football/players/567.png,1997-05-14,Amadora,Portugal,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,25,21,1907,,Defender,6.947826,False,4,2,9,7,2,0,0,,,1974,3,79,21,11,18,134,80,9,8,,7,19,3,0,0,,,0,0,
626,J. Stones,John,Stones,29,England,188 cm,80 kg,False,https://media-2.api-sports.io/football/players/626.png,1994-05-28,Barnsley,England,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,21,20,1732,,Defender,7.033333,False,1,4,5,9,3,2,0,2,,1407,7,62,22,7,9,101,68,7,6,,8,10,2,0,0,,,0,0,
18861,N. Aké,Nathan Benjamin,Aké,28,Netherlands,180 cm,75 kg,False,https://media-3.api-sports.io/football/players/18861.png,1995-02-18,Den Haag,Netherlands,50,Manchester City,https://media-3.api-sports.io/football/teams/50.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,25,21,1812,,Defender,6.991666,False,4,5,8,7,2,1,0,,,1648,8,62,25,9,19,113,76,4,3,,13,12,2,0,0,,,0,0,
