id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
291022,Joshua Keeley,Joshua,Keeley,19,Republic of Ireland,,,False,https://media-3.api-sports.io/football/players/291022.png,2003-05-17,,Republic of Ireland,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,H. Lloris,Hugo Hadrien Dominique,Lloris,37,France,188 cm,82 kg,False,https://media-2.api-sports.io/football/players/159.png,1986-12-26,Nice,France,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,25,25,2206,,Goalkeeper,6.788000,False,0,1,1,,,0,39,,79,616,,18,1,,1,17,12,,,,2,,0,0,0,,,0,0,1
18932,F. Forster,Fraser Gerard,Forster,35,England,201 cm,93 kg,False,https://media-3.api-sports.io/football/players/18932.png,1988-03-17,Hexham,England,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,11,10,944,,Goalkeeper,6.772727,False,1,0,25,,,0,18,,28,219,,14,,,,4,4,,,,2,,1,0,0,,,0,0,2
156428,B. Austin,Brandon Anthony,Austin,24,England,188 cm,82 kg,False,https://media-2.api-sports.io/football/players/156428.png,1999-01-08,,England,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,12,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,1
161,A. Whiteman,Alfie,Malik Whiteman,25,England,189 cm,84 kg,False,https://media-3.api-sports.io/football/players/161.png,1998-10-02,,England,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
331009,C. Sayers,Charlie,Sayers,19,England,,,False,https://media-3.api-sports.io/football/players/331009.png,2004-03-29,,England,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
168,D. Sánchez,Davinson,Sánchez Mina,27,Colombia,187 cm,81 kg,False,https://media-1.api-sports.io/football/players/168.png,1996-06-12,Caloto,Colombia,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,16,6,672,,Defender,6.631250,False,10,4,29,4,2,0,0,,,458,1,26,19,8,11,66,41,5,2,,4,6,1,0,0,,,0,0,
1566,Emerson,Emerson Aparecido,Leite de Souza Junior,24,Brazil,181 cm,79 kg,False,https://media-3.api-sports.io/football/players/1566.png,1999-01-14,São Paulo,Brazil,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,23,17,1481,,Defender,6.847826,False,6,6,8,12,6,2,0,1,,714,9,26,44,3,14,188,106,21,14,,28,19,2,0,1,,,0,0,
175,E. Dier,Eric Jeremy Edgar,Dier,29,England,188 cm,83 kg,False,https://media-3.api-sports.io/football/players/175.png,1994-01-15,Cheltenham,England,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,33,31,2817,,Defender,6.851515,False,2,1,4,9,4,2,0,1,,1978,7,53,30,24,35,195,121,3,1,,10,25,3,0,0,,,0,0,
30776,C. Romero,Cristian Gabriel,Romero,25,Argentina,185 cm,79 kg,False,https://media-3.api-sports.io/football/players/30776.png,1998-04-27,Córdoba,Argentina,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,24,23,2095,,Defender,6.965384,False,1,1,1,10,2,0,0,1,,1512,8,50,66,18,41,242,145,20,13,,12,39,9,1,0,,,0,0,
47519,Pedro Porro,Pedro Antonio,Porro Sauceda,24,Spain,176 cm,71 kg,False,https://media-1.api-sports.io/football/players/47519.png,1999-09-13,Don Benito,Spain,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,12,11,951,,Defender,6.827272,False,1,5,3,17,6,2,0,2,,385,20,26,22,1,12,120,50,34,12,,15,11,0,0,0,,,0,0,
149550,J. Tanganga,Japhet Manzambi,Tanganga,24,England,184 cm,76 kg,False,https://media-2.api-sports.io/football/players/149550.png,1999-03-31,,England,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,4,2,146,,Defender,6.266666,False,2,2,26,,,0,0,,,91,,27,3,,2,24,13,2,1,,3,3,0,0,0,,,0,0,
164,B. Davies,Benjamin Thomas,Davies,30,Wales,181 cm,77 kg,False,https://media-3.api-sports.io/football/players/164.png,1993-04-24,Neath,Wales,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,28,23,2024,,Defender,6.838461,False,5,4,7,13,5,2,0,2,,1080,18,32,22,7,18,202,104,11,5,,17,30,4,0,0,,,0,0,
133,C. Lenglet,Clément Nicolas Laurent,Lenglet,28,France,186 cm,81 kg,False,https://media-3.api-sports.io/football/players/133.png,1995-06-17,Beauvais,France,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,23,21,1757,,Defender,6.621739,False,2,10,13,6,2,0,0,2,,1241,7,47,32,8,17,152,86,8,5,,15,19,4,0,0,,,0,0,
154800,M. Fagan-Walcott,Malachi Michael,Fagan-Walcott,21,England,,,False,https://media-1.api-sports.io/football/players/154800.png,2002-03-11,London,England,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
60353,M. Paskotši,Maksim,Paskotši,20,Estonia,,,False,https://media-2.api-sports.io/football/players/60353.png,2003-01-19,Tallinn,Estonia,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
311817,A. Dorrington,Alfie,Dorrington,18,England,,,False,https://media-1.api-sports.io/football/players/311817.png,2005-04-20,,England,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
337929,G. Abbott,George David,Abbott,18,England,,,False,https://media-3.api-sports.io/football/players/337929.png,2005-08-17,,England,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
162607,M. Muir,Marqes,Muir,21,England,,,False,https://media-2.api-sports.io/football/players/162607.png,2002-09-21,,England,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
180,O. Skipp,Oliver William,Skipp,23,England,175 cm,70 kg,False,https://media-2.api-sports.io/football/players/180.png,2000-09-16,,England,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,20,15,1255,,Midfielder,6.641176,False,5,8,15,4,3,1,0,,,637,9,29,29,7,13,128,57,11,8,,14,20,6,0,0,,,0,0,
153408,D. Oyegoke,Daniel,Oladele Akinbiyi Oyegoke,20,England,,,False,https://media-2.api-sports.io/football/players/153408.png,2003-01-03,,England,55,Brentford,https://media-3.api-sports.io/football/teams/55.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
