id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
18826,Mark Noble,Mark,Noble,35,England,180 cm,70 kg,False,https://media-1.api-sports.io/football/players/18826.png,1987-05-08,Canning Town,England,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154807,Daniel Chesters,Daniel,Chesters,20,England,,,False,https://media-1.api-sports.io/football/players/154807.png,2002-04-04,,England,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1131,A. Oko-Flex,Armstrong Echezolachukwu Inya,Oko-Flex,21,Republic of Ireland,,,False,https://media-2.api-sports.io/football/players/1131.png,2002-03-02,Dublin,Republic of Ireland,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
90494,N. Trott,Nathan,Wallace Newman Trott,25,England,188 cm,75 kg,False,https://media-1.api-sports.io/football/players/90494.png,1998-11-21,Bermuda,Bermuda,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
171058,H. Ashby,Harrison Charles,Ashby,22,Scotland,,,False,https://media-1.api-sports.io/football/players/171058.png,2001-11-14,,Scotland,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
18814,I. Diop,Issa Laye Lucas Jean,Diop,26,France,194 cm,92 kg,False,https://media-2.api-sports.io/football/players/18814.png,1997-01-09,Toulouse,France,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,6.772727,False,0,0,0,2,2,0,0,,,1215,1,49,25,15,30,114,63,3,2,,7,16,0,0,0,,,0,0,
19147,C. Dawson,Craig,Dawson,33,England,188 cm,82 kg,False,https://media-2.api-sports.io/football/players/19147.png,1990-05-06,Rochdale,England,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,8,8,720,,Defender,6.787500,False,0,0,1,6,1,0,0,,,305,1,30,10,6,6,47,27,1,,,3,6,2,0,0,,,0,0,
19229,D. Randolph,Darren Edward Andrew,Randolph,36,Republic of Ireland,188 cm,98 kg,False,https://media-3.api-sports.io/football/players/19229.png,1987-05-12,Bray,Republic of Ireland,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,8,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
2997,Ł. Fabiański,Łukasz Marek,Fabiański,38,Poland,190 cm,83 kg,False,https://media-2.api-sports.io/football/players/2997.png,1985-04-18,Kostrzyn nad Odrą,Poland,48,West Ham,https://media-1.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,33,33,2844,,Goalkeeper,6.866666,False,0,3,0,,,0,43,,97,708,,12,2,,,21,19,,,,4,,1,0,0,,,0,0,3
253,A. Aréola,Alphonse Francis,Aréola,30,France,195 cm,94 kg,False,https://media-3.api-sports.io/football/players/253.png,1993-02-27,Paris,France,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,5,2,306,,Goalkeeper,6.500000,False,3,0,30,,,0,7,,9,77,,10,,,,1,,,,,,1,0,0,0,,,0,0,3
144723,K. Hegyi,Krisztián,Hegyi,21,Hungary,193 cm,,False,https://media-3.api-sports.io/football/players/144723.png,2002-09-24,,Hungary,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
144709,J. Anang,Joseph,Tetteh Anang,23,England,190 cm,72 kg,False,https://media-1.api-sports.io/football/players/144709.png,2000-06-08,,England,48,West Ham,https://media-1.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,7,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
18823,B. Johnson,Benjamin Anthony,Johnson,23,England,175 cm,67 kg,False,https://media-3.api-sports.io/football/players/18823.png,2000-01-24,,England,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,15,8,769,,Defender,6.585714,False,7,1,17,1,,0,0,,,411,3,21,20,4,8,67,42,11,7,,4,3,0,0,0,,,0,0,
18813,A. Cresswell,Aaron William,Cresswell,34,England,170 cm,66 kg,False,https://media-3.api-sports.io/football/players/18813.png,1989-12-15,Liverpool,England,48,West Ham,https://media-1.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,27,23,2164,,Defender,6.892307,False,4,3,10,3,1,0,0,1,,1071,40,33,21,10,27,123,59,6,2,,9,9,3,0,0,,,0,0,
2726,K. Zouma,Kurt Happy,Zouma,29,France,190 cm,96 kg,False,https://media-3.api-sports.io/football/players/2726.png,1994-10-27,Lyon,France,48,West Ham,https://media-2.api-sports.io/football/teams/48.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,24,23,1945,,Defender,6.895833,False,1,2,2,16,6,2,0,,,812,1,28,9,14,30,101,70,4,2,,6,13,0,0,0,,,0,0,
