id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
288115,James Storer,James,Storer,,England,,,False,https://media-2.api-sports.io/football/players/288115.png,,,England,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19307,Léo Bonatini,Leonardo,Bonatini Lohner Maia,29,Brazil,185 cm,80 kg,False,https://media-3.api-sports.io/football/players/19307.png,1994-03-28,Belo Horizonte,Brazil,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2922,L. Dendoncker,Leander,Dendoncker,28,Belgium,188 cm,83 kg,False,https://media-1.api-sports.io/football/players/2922.png,1995-04-15,Passendale,Belgium,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,4,2,212,,Midfielder,6.583333,False,2,0,3,1,,0,0,,,278,5,14,19,4,8,56,32,4,2,,1,1,0,0,0,,,0,0,
1590,José Sá,José Pedro,Malheiro de Sá,30,Portugal,192 cm,84 kg,False,https://media-2.api-sports.io/football/players/1590.png,1993-01-17,Braga,Portugal,39,Wolves,https://media-2.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,35,35,3150,,Goalkeeper,6.831428,False,0,0,0,,,0,50,,105,996,,18,1,,,18,16,2,2,,7,1,2,0,0,,,0,0,2
144741,L. Moulden,Louie,Moulden,21,England,190 cm,,False,https://media-1.api-sports.io/football/players/144741.png,2002-01-06,Bolton,England,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19341,D. Bentley,Daniel Ian,Bentley,30,England,188 cm,72 kg,False,https://media-1.api-sports.io/football/players/19341.png,1993-07-13,Basildon,England,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,15,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
21138,R. Aït-Nouri,Rayan,Aït-Nouri,22,Algeria,179 cm,70 kg,False,https://media-2.api-sports.io/football/players/21138.png,2001-06-06,Montreuil,France,39,Wolves,https://media-2.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,20,9,1024,,Defender,6.650000,False,11,5,18,8,5,1,0,,,450,7,18,33,,9,138,77,39,21,,10,14,4,0,0,,,0,0,
19495,N. Collins,Nathan Michael,Collins,22,Republic of Ireland,193 cm,,False,https://media-3.api-sports.io/football/players/19495.png,2001-04-30,Leixlip,Republic of Ireland,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,24,17,1628,,Defender,6.831818,False,7,0,15,1,,0,0,,,1027,2,41,26,24,21,127,71,7,7,,8,15,2,0,1,,,0,0,
19147,C. Dawson,Craig,Dawson,33,England,188 cm,82 kg,False,https://media-3.api-sports.io/football/players/19147.png,1990-05-06,Rochdale,England,39,Wolves,https://media-3.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,15,15,1237,,Defender,6.787500,False,0,3,0,6,1,1,0,,,305,1,30,10,6,6,47,27,1,,,3,6,2,0,0,,,0,0,
18740,Jonny,Jonathan,Castro Otto,29,Spain,175 cm,70 kg,False,https://media-2.api-sports.io/football/players/18740.png,1994-03-03,Vigo,Spain,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,18,14,1262,,Defender,6.605555,False,4,4,12,6,2,1,0,,,692,5,32,34,5,14,157,81,29,13,,19,13,3,0,1,,,0,0,
