id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
312118,J. Feeney,Joshua,Feeney,17,England,193 cm,,False,https://media-2.api-sports.io/football/players/312118.png,2005-05-06,,Scotland,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
283289,A. Raikhy,Arjan,Singh Raikhy,20,England,,,False,https://media-1.api-sports.io/football/players/283289.png,2002-10-20,,England,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284500,T. Iroegbunam,Timothy Emeka,Iroegbunam,20,England,,,False,https://media-2.api-sports.io/football/players/284500.png,2003-06-30,,England,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,2,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
76,M. Nakamba,Marvelous,Nakamba,29,Zimbabwe,178 cm,71 kg,False,https://media-3.api-sports.io/football/players/76.png,1994-01-19,Hwange,Zimbabwe,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,9,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
19177,K. Hause,Kortney Paul Duncan,Hause,28,England,191 cm,77 kg,False,https://media-2.api-sports.io/football/players/19177.png,1995-07-16,Redbridge,England,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19185,K. Davis,Keinan Vincent Joseph,Davis,25,England,191 cm,68 kg,False,https://media-3.api-sports.io/football/players/19185.png,1998-02-13,,England,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
137302,C. Archer,Cameron Desmond,Archer,22,England,181 cm,72 kg,False,https://media-2.api-sports.io/football/players/137302.png,2001-12-09,Walsall,England,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,6,0,43,,Attacker,6.240000,False,6,0,14,,,0,0,,,11,,1,,,,7,2,1,1,,1,2,0,0,0,,,0,0,
138937,F. Marschall,Filip,Marschall,20,England,195 cm,87 kg,False,https://media-2.api-sports.io/football/players/138937.png,2003-04-24,,England,66,Aston Villa,https://media-3.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
19195,A. El Ghazi,Anwar,El Ghazi,28,Netherlands,189 cm,90 kg,False,https://media-1.api-sports.io/football/players/19195.png,1995-05-03,Barendrecht,Netherlands,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
284457,L. Bogarde,Lamare Trenton,Chansey Bogarde,19,Netherlands,,,False,https://media-1.api-sports.io/football/players/284457.png,2004-01-05,,Netherlands,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,3,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
