id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
305732,T. Wilson-Brown,Thomas,Wilson-Brown,18,England,,,False,https://media-2.api-sports.io/football/players/305732.png,2004-10-05,,England,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284530,B. Cover,Brandon Ashley,Cover,19,England,,,False,https://media-2.api-sports.io/football/players/284530.png,2003-09-25,,England,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-3.api-sports.io/flags/gb.svg,2022,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18777,M. Albrighton,Marc Kevin,Albrighton,34,England,175 cm,74 kg,False,https://media-1.api-sports.io/football/players/18777.png,1989-11-18,Tamworth,England,46,Leicester,https://media-1.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,6,1,233,,Midfielder,6.866666,False,5,1,18,2,1,1,0,,,113,6,13,4,2,1,19,8,1,1,,2,2,0,0,0,,,0,0,
18779,H. Choudhury,Hamza,Dewan Choudhury,26,England,178 cm,64 kg,False,https://media-3.api-sports.io/football/players/18779.png,1997-10-01,,England,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
22094,W. Fofana,Wesley Tidjan,Fofana,23,France,190 cm,84 kg,False,https://media-3.api-sports.io/football/players/22094.png,2000-12-17,,France,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,2,2,180,,Defender,7.000000,False,0,0,0,6,2,0,0,,,681,1,50,28,6,19,119,82,8,7,,19,7,1,0,0,,,0,0,
18146,D. Ward,Daniel,Ward,30,Wales,191 cm,88 kg,False,https://media-1.api-sports.io/football/players/18146.png,1993-06-22,Wrexham,Wales,46,Leicester,https://media-1.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,26,26,2340,,Goalkeeper,6.734615,False,0,0,9,,,0,46,,78,784,,21,1,,,10,9,,,,5,,0,0,0,,,0,0,2
18985,A. Smithies,Alexander,Smithies,33,England,185 cm,84 kg,False,https://media-2.api-sports.io/football/players/18985.png,1990-03-05,Huddersfield,England,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,1,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
17736,D. Iversen,Daniel,Lønne Iversen,26,Denmark,193 cm,80 kg,False,https://media-3.api-sports.io/football/players/17736.png,1997-07-19,,Denmark,46,Leicester,https://media-3.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,10,10,900,,Goalkeeper,6.640000,False,0,0,26,,,0,21,,33,264,,13,,,,2,2,,,,,,0,0,0,,,0,0,2
19760,J. Justin,James Michael,Justin,25,England,183 cm,80 kg,False,https://media-1.api-sports.io/football/players/19760.png,1998-02-23,Luton,England,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,14,14,1254,,Defender,6.892857,False,0,2,0,3,,0,0,,,682,7,39,20,6,15,136,76,15,4,,29,8,0,0,0,,,0,0,
8694,W. Faes,Wout Felix Lina,Faes,25,Belgium,187 cm,84 kg,False,https://media-1.api-sports.io/football/players/8694.png,1998-04-03,,Belgium,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,29,29,2607,,Defender,6.913793,False,0,0,0,10,2,0,0,2,,1765,9,52,54,37,39,218,134,11,8,,16,23,5,1,0,,,0,0,
