id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
18893,F. Fernández,Federico,Fernández,34,Argentina,190 cm,83 kg,False,https://media-2.api-sports.io/football/players/18893.png,1989-02-21,Tres Algarrobos,Argentina,34,Newcastle,https://media-2.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18885,K. Darlow,Karl,Darlow,33,England,190 cm,88 kg,False,https://media-1.api-sports.io/football/players/18885.png,1990-10-08,Northampton,England,34,Newcastle,https://media-3.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,7,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
68127,K. Watts,Kelland John William James,Watts,24,England,192 cm,75 kg,False,https://media-2.api-sports.io/football/players/68127.png,1999-11-03,Alnwick,England,34,Newcastle,https://media-1.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18886,M. Dúbravka,Martin,Dúbravka,34,Slovakia,190 cm,83 kg,False,https://media-2.api-sports.io/football/players/18886.png,1989-01-15,Žilina,Slovakia,34,Newcastle,https://media-1.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-2.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,1,0,66,,Goalkeeper,,False,1,0,19,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
1972,L. Karius,Loris,Karius,30,Germany,189 cm,87 kg,False,https://media-3.api-sports.io/football/players/1972.png,1993-06-22,Biberach an der Riß,Germany,34,Newcastle,https://media-2.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,7,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
18911,N. Pope,Nicholas David,Pope,31,England,191 cm,76 kg,False,https://media-3.api-sports.io/football/players/18911.png,1992-04-19,Soham,England,34,Newcastle,https://media-1.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,36,36,3172,,Goalkeeper,6.905555,False,0,0,0,,,0,32,,86,650,2,10,1,,,11,8,,,,2,1,3,0,1,,,0,0,0
44912,M. Gillespie,Mark Joseph,Gillespie,31,England,192 cm,83 kg,False,https://media-1.api-sports.io/football/players/44912.png,1992-03-27,Newcastle upon Tyne,England,34,Newcastle,https://media-2.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
169,K. Trippier,Kieran John,Trippier,33,England,178 cm,71 kg,False,https://media-3.api-sports.io/football/players/169.png,1990-09-19,Bury,England,34,Newcastle,https://media-2.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-1.api-sports.io/flags/gb.svg,2022,36,36,3168,,Defender,7.644444,False,0,7,0,5,4,1,0,7,,1902,108,39,70,14,42,301,164,31,19,,28,44,5,0,0,,,0,0,
18892,P. Dummett,Paul,Dummett,32,Wales,183 cm,82 kg,False,https://media-2.api-sports.io/football/players/18892.png,1991-09-26,Newcastle upon Tyne,England,34,Newcastle,https://media-3.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-3.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,0,0,0,,Defender,,False,0,0,14,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,
38734,S. Botman,Sven,Botman,23,Netherlands,193 cm,81 kg,False,https://media-2.api-sports.io/football/players/38734.png,2000-01-12,Badhoevedorp,Netherlands,34,Newcastle,https://media-2.api-sports.io/football/teams/34.png,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2022,34,33,2948,,Defender,6.975757,False,1,2,3,15,7,0,0,,,1627,8,41,37,22,32,179,120,1,1,,12,14,2,0,0,,,0,0,
